#mGo	mLSP	Total	Counts	genWeight
900	300	1867622	94597	94597.000
900	600	1867622	141142	141142.000
900	450	1867622	81628	81628.000
900	575	1867622	140724	140724.000
900	500	1867622	141519	141519.000
900	350	1867622	94143	94143.000
900	0	1867622	93777	93777.000
#mGo	mLSP	Total	Counts	genWeight
950	675	1787237	141821	141821.000
950	500	1787237	93936	93936.000
950	450	1787237	90788	90788.000
950	600	1787237	141644	141644.000
950	625	1787237	141161	141161.000
950	400	1787237	94151	94151.000
975	575	1787237	141910	141910.000
975	550	1787237	141664	141664.000
950	550	1787237	141150	141150.000
950	700	1787237	141119	141119.000
950	650	1787237	141467	141467.000
950	575	1787237	141497	141497.000
950	725	1787237	140773	140773.000
950	350	1787237	94156	94156.000
#mGo	mLSP	Total	Counts	genWeight
975	600	992951	141740	141740.000
975	675	992951	142031	142031.000
975	725	992951	141546	141546.000
975	650	992951	142096	142096.000
975	700	992951	141988	141988.000
975	750	992951	141493	141493.000
975	625	992951	142057	142057.000
