#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1900	800	31135695	31135695.000	21407	21407.000
1700	100	31135695	31135695.000	21354	21354.000
1550	550	31135695	31135695.000	18873	18873.000
800	550	31135695	31135695.000	144975	144975.000
800	400	31135695	31135695.000	153892	153892.000
1800	850	31135695	31135695.000	21872	21872.000
800	100	31135695	31135695.000	148427	148427.000
1850	400	31135695	31135695.000	18898	18898.000
1600	1000	31135695	31135695.000	17724	17724.000
1600	700	31135695	31135695.000	17991	17991.000
1950	1100	31135695	31135695.000	18636	18636.000
1400	1000	31135695	31135695.000	21058	21058.000
1550	1200	31135695	31135695.000	22466	22466.000
1800	1550	31135695	31135695.000	20893	20893.000
1400	400	31135695	31135695.000	22116	22116.000
1950	1250	31135695	31135695.000	21548	21548.000
1950	200	31135695	31135695.000	17725	17725.000
2300	1000	31135695	31135695.000	14829	14829.000
2300	900	31135695	31135695.000	22493	22493.000
2050	1100	31135695	31135695.000	22313	22313.000
2250	1600	31135695	31135695.000	17561	17561.000
2050	1550	31135695	31135695.000	20582	20582.000
2250	1350	31135695	31135695.000	21566	21566.000
1700	800	31135695	31135695.000	18587	18587.000
1750	1400	31135695	31135695.000	20025	20025.000
2000	1600	31135695	31135695.000	22866	22866.000
1700	1000	31135695	31135695.000	18694	18694.000
1250	800	31135695	31135695.000	53271	53271.000
2200	1250	31135695	31135695.000	15493	15493.000
1200	500	31135695	31135695.000	71698	71698.000
1900	700	31135695	31135695.000	21409	21409.000
1700	1150	31135695	31135695.000	20505	20505.000
1550	950	31135695	31135695.000	20231	20231.000
1300	500	31135695	31135695.000	40019	40019.000
1450	100	31135695	31135695.000	21105	21105.000
1750	500	31135695	31135695.000	20087	20087.000
1450	400	31135695	31135695.000	21428	21428.000
1850	1250	31135695	31135695.000	23053	23053.000
2250	800	31135695	31135695.000	24216	24216.000
700	200	31135695	31135695.000	151804	151804.000
2000	1200	31135695	31135695.000	19852	19852.000
1000	300	31135695	31135695.000	152061	152061.000
2100	1250	31135695	31135695.000	17576	17576.000
1650	750	31135695	31135695.000	23003	23003.000
1550	1100	31135695	31135695.000	19792	19792.000
1600	1200	31135695	31135695.000	24446	24446.000
2200	1100	31135695	31135695.000	21909	21909.000
1750	1500	31135695	31135695.000	24297	24297.000
2050	1050	31135695	31135695.000	19246	19246.000
2150	1350	31135695	31135695.000	21106	21106.000
1050	600	31135695	31135695.000	158862	158862.000
1750	1250	31135695	31135695.000	22174	22174.000
1200	650	31135695	31135695.000	61015	61015.000
850	450	31135695	31135695.000	150964	150964.000
850	600	31135695	31135695.000	146192	146192.000
1250	350	31135695	31135695.000	54571	54571.000
650	300	31135695	31135695.000	216316	216316.000
1700	300	31135695	31135695.000	24023	24023.000
1650	700	31135695	31135695.000	19015	19015.000
1150	600	31135695	31135695.000	101139	101139.000
700	300	31135695	31135695.000	144092	144092.000
1500	550	31135695	31135695.000	19454	19454.000
1100	0	31135695	31135695.000	133244	133244.000
1700	1350	31135695	31135695.000	21725	21725.000
1550	850	31135695	31135695.000	20129	20129.000
1400	1050	31135695	31135695.000	22974	22974.000
1950	950	31135695	31135695.000	21210	21210.000
1400	750	31135695	31135695.000	19666	19666.000
2100	700	31135695	31135695.000	22122	22122.000
1100	350	31135695	31135695.000	128877	128877.000
2150	1100	31135695	31135695.000	22845	22845.000
1850	1350	31135695	31135695.000	18733	18733.000
1800	900	31135695	31135695.000	22524	22524.000
700	350	31135695	31135695.000	144991	144991.000
1150	750	31135695	31135695.000	93648	93648.000
2300	400	31135695	31135695.000	21012	21012.000
1800	0	31135695	31135695.000	19650	19650.000
1250	500	31135695	31135695.000	51790	51790.000
800	300	31135695	31135695.000	153374	153374.000
2100	1100	31135695	31135695.000	18732	18732.000
1700	1250	31135695	31135695.000	25276	25276.000
1000	500	31135695	31135695.000	142444	142444.000
1050	750	31135695	31135695.000	158695	158695.000
1800	1250	31135695	31135695.000	19828	19828.000
1900	1400	31135695	31135695.000	21396	21396.000
2150	800	31135695	31135695.000	19722	19722.000
2150	400	31135695	31135695.000	20463	20463.000
1150	700	31135695	31135695.000	99526	99526.000
1800	950	31135695	31135695.000	17679	17679.000
2300	1200	31135695	31135695.000	20917	20917.000
2150	600	31135695	31135695.000	13634	13634.000
2050	400	31135695	31135695.000	23656	23656.000
2000	1450	31135695	31135695.000	21801	21801.000
2200	0	31135695	31135695.000	23184	23184.000
2050	1000	31135695	31135695.000	20952	20952.000
1750	1050	31135695	31135695.000	24816	24816.000
2050	1300	31135695	31135695.000	19487	19487.000
1350	350	31135695	31135695.000	30116	30116.000
1300	650	31135695	31135695.000	41532	41532.000
2200	300	31135695	31135695.000	21444	21444.000
1100	400	31135695	31135695.000	122316	122316.000
1650	1000	31135695	31135695.000	19868	19868.000
1800	1050	31135695	31135695.000	21368	21368.000
1800	400	31135695	31135695.000	20972	20972.000
750	300	31135695	31135695.000	148789	148789.000
900	300	31135695	31135695.000	152451	152451.000
1350	300	31135695	31135695.000	29158	29158.000
2200	800	31135695	31135695.000	17519	17519.000
1650	950	31135695	31135695.000	17393	17393.000
2150	700	31135695	31135695.000	20510	20510.000
1000	650	31135695	31135695.000	146711	146711.000
1800	500	31135695	31135695.000	19092	19092.000
2300	700	31135695	31135695.000	23620	23620.000
2000	400	31135695	31135695.000	16897	16897.000
1400	1175	31135695	31135695.000	21313	21313.000
700	0	31135695	31135695.000	149784	149784.000
1400	950	31135695	31135695.000	19213	19213.000
2050	500	31135695	31135695.000	23990	23990.000
1750	0	31135695	31135695.000	21322	21322.000
1350	1000	31135695	31135695.000	31828	31828.000
1550	700	31135695	31135695.000	21941	21941.000
1200	400	31135695	31135695.000	72607	72607.000
2300	1400	31135695	31135695.000	19043	19043.000
1850	1600	31135695	31135695.000	25236	25236.000
1750	950	31135695	31135695.000	18719	18719.000
2050	1450	31135695	31135695.000	20597	20597.000
1850	1000	31135695	31135695.000	20866	20866.000
2000	800	31135695	31135695.000	21428	21428.000
2300	1550	31135695	31135695.000	20710	20710.000
800	575	31135695	31135695.000	152170	152170.000
1850	1450	31135695	31135695.000	16866	16866.000
1100	500	31135695	31135695.000	142647	142647.000
2250	1450	31135695	31135695.000	19188	19188.000
2200	1200	31135695	31135695.000	19819	19819.000
1700	750	31135695	31135695.000	22789	22789.000
1250	0	31135695	31135695.000	51264	51264.000
1250	600	31135695	31135695.000	57861	57861.000
1500	1050	31135695	31135695.000	20901	20901.000
1450	450	31135695	31135695.000	20816	20816.000
1350	550	31135695	31135695.000	28581	28581.000
2000	1250	31135695	31135695.000	23780	23780.000
2300	0	31135695	31135695.000	19362	19362.000
1300	1075	31135695	31135695.000	37887	37887.000
1550	100	31135695	31135695.000	18279	18279.000
1000	550	31135695	31135695.000	144744	144744.000
1800	600	31135695	31135695.000	22348	22348.000
1700	1450	31135695	31135695.000	20861	20861.000
1900	1600	31135695	31135695.000	26248	26248.000
2200	1350	31135695	31135695.000	20565	20565.000
1800	1500	31135695	31135695.000	21939	21939.000
1550	600	31135695	31135695.000	19934	19934.000
1050	350	31135695	31135695.000	150357	150357.000
2150	300	31135695	31135695.000	19491	19491.000
1250	750	31135695	31135695.000	53068	53068.000
850	500	31135695	31135695.000	146062	146062.000
2100	800	31135695	31135695.000	20592	20592.000
600	0	31135695	31135695.000	369781	369781.000
1850	500	31135695	31135695.000	23052	23052.000
1800	1150	31135695	31135695.000	21753	21753.000
1050	800	31135695	31135695.000	153937	153937.000
1850	950	31135695	31135695.000	20027	20027.000
2300	1300	31135695	31135695.000	18245	18245.000
1750	800	31135695	31135695.000	21625	21625.000
2300	100	31135695	31135695.000	21999	21999.000
1400	700	31135695	31135695.000	21337	21337.000
1200	200	31135695	31135695.000	75121	75121.000
1600	850	31135695	31135695.000	18022	18022.000
1400	100	31135695	31135695.000	23366	23366.000
1350	500	31135695	31135695.000	29743	29743.000
800	0	31135695	31135695.000	152557	152557.000
2000	500	31135695	31135695.000	22537	22537.000
1900	1500	31135695	31135695.000	18080	18080.000
1450	700	31135695	31135695.000	21529	21529.000
1950	1600	31135695	31135695.000	23422	23422.000
1450	1000	31135695	31135695.000	19339	19339.000
1500	100	31135695	31135695.000	21254	21254.000
1300	950	31135695	31135695.000	37533	37533.000
1750	1100	31135695	31135695.000	20022	20022.000
1250	1025	31135695	31135695.000	53056	53056.000
1500	1000	31135695	31135695.000	19044	19044.000
1600	1375	31135695	31135695.000	20963	20963.000
1100	650	31135695	31135695.000	126747	126747.000
1650	650	31135695	31135695.000	21052	21052.000
1100	200	31135695	31135695.000	145744	145744.000
1350	900	31135695	31135695.000	29784	29784.000
